,LV1,LV2,LV3,LV4
GDP_Fucose_uM,0.6091338271261955,0.013988955689390042,0.3274118269682675,-0.1595721862985247
Mn_uM,0.36345500858818697,-0.125868587576652,0.24966443905811478,-0.1803161861295885
Uridine_mM,0.15023787944140538,0.28902057094703926,0.3540795402058501,-0.296709450808593
pH,0.12477033333843239,0.29393485840644334,0.2430636652574584,0.44258633827753113
DO_pct,0.17018537760025543,-0.14754493792526469,-0.0248487792642662,-0.47281427927033765
pCO2_mmHg,-0.2679945889610801,-0.1508432602175307,0.638912845490628,0.2689256439111767
Temperature_C,0.5482196398306461,-0.12206618308901955,-0.21705178412922335,0.5429966804806764
VCD_1e6_per_mL,0.2155536346548837,0.4578432422275257,-0.38356832984420025,0.18070161736488966
Osmolality_mOsm,0.011849199355288872,0.7283633194116176,0.24278983008490504,-0.11330912286389941
Lactate_g_per_L,-0.16017397002976924,-0.14584552686066363,-0.0034095046092471742,0.1914170405190317
