Feature_1,Feature_2,Interaction_Strength
DO_pct,pCO2_mmHg,0.19611603245059012
pCO2_mmHg,Temperature_C,0.19449634379811262
Uridine_mM,Osmolality_mOsm,0.170838114138536
pH,Lactate_g_per_L,0.15733589798991243
pH,Osmolality_mOsm,0.1255031620355035
GDP_Fucose_uM,pH,0.12274290332352106
Uridine_mM,pCO2_mmHg,0.11960717340825266
Uridine_mM,pH,0.1177491016730936
pH,VCD_1e6_per_mL,0.1130625741536029
DO_pct,Osmolality_mOsm,0.11148366914245764
GDP_Fucose_uM,Uridine_mM,0.11095075291233823
Uridine_mM,VCD_1e6_per_mL,0.10900319642603072
VCD_1e6_per_mL,Osmolality_mOsm,0.1074170915765851
Temperature_C,VCD_1e6_per_mL,0.0951587969071514
Uridine_mM,DO_pct,0.09440126407292632
DO_pct,VCD_1e6_per_mL,0.08614016391596267
pH,pCO2_mmHg,0.08258868709683037
pH,DO_pct,0.07993665845205294
GDP_Fucose_uM,Osmolality_mOsm,0.07799409369326656
GDP_Fucose_uM,Lactate_g_per_L,0.07203387872093453
GDP_Fucose_uM,VCD_1e6_per_mL,0.0710974592651355
pCO2_mmHg,VCD_1e6_per_mL,0.07075327772613885
DO_pct,Temperature_C,0.06658600285851982
Mn_uM,pH,0.06556782788476734
Mn_uM,Osmolality_mOsm,0.06349362593982827
Uridine_mM,Lactate_g_per_L,0.06269860126942287
Uridine_mM,Temperature_C,0.059946533014728354
Mn_uM,pCO2_mmHg,0.059894277131542786
Mn_uM,Temperature_C,0.05953633467540958
Mn_uM,DO_pct,0.05739137080509017
VCD_1e6_per_mL,Lactate_g_per_L,0.05454033123711195
Osmolality_mOsm,Lactate_g_per_L,0.05087545477702281
Mn_uM,VCD_1e6_per_mL,0.05085396626629525
GDP_Fucose_uM,Temperature_C,0.04065687301235652
pCO2_mmHg,Osmolality_mOsm,0.036665036877993946
DO_pct,Lactate_g_per_L,0.03574737256419103
Temperature_C,Lactate_g_per_L,0.028994037594883552
Mn_uM,Uridine_mM,0.026820472349905894
pCO2_mmHg,Lactate_g_per_L,0.02388430254939123
Mn_uM,Lactate_g_per_L,0.023452723482358582
GDP_Fucose_uM,pCO2_mmHg,0.02334255789522941
GDP_Fucose_uM,Mn_uM,0.021229891626292022
Temperature_C,Osmolality_mOsm,0.017347695171467913
pH,Temperature_C,0.01648134161736432
GDP_Fucose_uM,DO_pct,0.012857778711220492
