Feature,Perm_Importance_Mean,Perm_Importance_Std
Temperature_C,0.45038630036291566,0.01314284684113916
GDP_Fucose_uM,0.4237094556988869,0.01569691295525751
pH,0.2738834388514706,0.008840545315850412
Mn_uM,0.14263789916038289,0.005351417163808877
pCO2_mmHg,0.05486722523339423,0.0034367457894028557
DO_pct,0.02845658322959833,0.002427709847772897
Lactate_g_per_L,0.026946109673183543,0.0026516961010808974
Osmolality_mOsm,0.015510814656746467,0.0010536856951850727
Uridine_mM,0.0068785712391269,0.0011076680372417516
VCD_1e6_per_mL,0.004964658980491891,0.0007894282509172023
