Feature_1,Feature_2,Interaction_Strength
Uridine_mM,Osmolality_mOsm,0.05073947704945403
Uridine_mM,Lactate_g_per_L,0.04947707523155659
pCO2_mmHg,VCD_1e6_per_mL,0.04538091579616172
pCO2_mmHg,Lactate_g_per_L,0.043684123743026305
Mn_uM,pH,0.03501568936620618
GDP_Fucose_uM,Osmolality_mOsm,0.03494924572460094
GDP_Fucose_uM,VCD_1e6_per_mL,0.03322727796204125
DO_pct,Lactate_g_per_L,0.032242826169533806
Temperature_C,Osmolality_mOsm,0.03205107555314997
pH,VCD_1e6_per_mL,0.031439519218763035
Mn_uM,pCO2_mmHg,0.030139067466309108
pH,Osmolality_mOsm,0.030011058922638268
DO_pct,VCD_1e6_per_mL,0.02988878686180394
Uridine_mM,VCD_1e6_per_mL,0.028877985154875052
GDP_Fucose_uM,DO_pct,0.02571920954962056
pH,pCO2_mmHg,0.023209490488377067
pCO2_mmHg,Temperature_C,0.023184546935245146
pH,Temperature_C,0.021793078148909316
Uridine_mM,pH,0.02066061679849463
pCO2_mmHg,Osmolality_mOsm,0.0204772978682018
Mn_uM,Temperature_C,0.020388796218094994
DO_pct,Osmolality_mOsm,0.019291905784270136
VCD_1e6_per_mL,Osmolality_mOsm,0.016971954467920092
Uridine_mM,pCO2_mmHg,0.016856965343635396
GDP_Fucose_uM,pCO2_mmHg,0.016562687957536695
VCD_1e6_per_mL,Lactate_g_per_L,0.0163076931635476
Mn_uM,DO_pct,0.016011008115478356
GDP_Fucose_uM,pH,0.01576806890902584
GDP_Fucose_uM,Uridine_mM,0.012876433680957908
Mn_uM,Uridine_mM,0.011727366053552957
DO_pct,pCO2_mmHg,0.010859086257538928
Mn_uM,Lactate_g_per_L,0.0106134061329127
Temperature_C,VCD_1e6_per_mL,0.01044625041733105
GDP_Fucose_uM,Temperature_C,0.009075081447594358
GDP_Fucose_uM,Mn_uM,0.008837766381145168
pH,DO_pct,0.007472236192022658
GDP_Fucose_uM,Lactate_g_per_L,0.007194445629660576
Uridine_mM,Temperature_C,0.0066926215078894945
Mn_uM,Osmolality_mOsm,0.0061856386750997125
Mn_uM,VCD_1e6_per_mL,0.005234098822442277
DO_pct,Temperature_C,0.004009861401903435
Uridine_mM,DO_pct,0.0037500498338222128
Osmolality_mOsm,Lactate_g_per_L,0.0037118581186296085
Temperature_C,Lactate_g_per_L,0.003399621774135769
pH,Lactate_g_per_L,0.0014093669402700224
